Designator,Mid X,Mid Y,Rotation,Layer
D1,168.945,-97.0,0.0,top
D10,88.945,-112.0,0.0,top
D11,168.945,-127.0,0.0,top
D12,148.945,-127.0,0.0,top
D13,128.6,-127.0,0.0,top
D14,108.945,-127.0,0.0,top
D15,88.945,-127.0,0.0,top
D16,168.945,-142.0,0.0,top
D17,148.945,-142.0,0.0,top
D18,128.6,-142.0,0.0,top
D19,108.945,-142.0,0.0,top
D2,148.945,-97.0,0.0,top
D20,88.945,-142.0,0.0,top
D3,108.945,-97.0,0.0,top
D4,88.945,-97.0,0.0,top
D5,128.6,-97.0,0.0,top
D6,168.945,-112.0,0.0,top
D7,148.945,-112.0,0.0,top
D8,128.6,-112.0,0.0,top
D9,108.945,-112.0,0.0,top
J1,197.255,-121.295,180.0,top
J2,197.2525,-134.755,0.0,top
