Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C16, C8, C9",C_0603,6,1uF,C15849
"C17, C18",C_0603,2,100nF,C14663
"C19, C20, C21, C22",C_0603,4,220nF,C21120
"C2, C3, C4, C5",C_0805,4,4.7uF,C1779
"C6, C7",C_1206,2,10uF,C13585
"D1, D2, D3, D4",D_SOD-323,4,B5819WS,C7420331
D5,D_0805,1,Red,C84256
D6,D_0805,1,Green,C2297
D8,D_SOT-23,1,BZX84C10,C19077470
D9,D_SMA,1,SMAJ15A,C19077535
F1,1812,1,3A/24V,C7500481
J1,IDC-Header_2x04_P2.54mm_Vertical,1,Conn_02x04_Odd_Even,
J2,TYPE-C-SMD_HX-TYPE-C-16PIN,1,"Connector, USB-TYPE-C-16P",C2927039
J3,PinHeader_1x04_P2.54mm_Vertical,1,PROG,
J4,PinHeader_1x04_P2.54mm_Vertical,1,UART,
"L1, L2, L3, L4",L_Cenker_CKCS4030,4,22u,C354592
Q1,Q_SOT-23,1,AO3401A,C15127
R1,R_0805,1,10Ω,C17415
"R10, R9",R_0603,2,4.7kΩ,C23162
"R16, R17",R_0603,2,1kΩ,C21190
"R18, R19, R20, R21, R22, R23",R_0603,6,10kΩ,C25804
R2,R_0805,1,49.9kΩ,C17719
R3,R_0805,1,5.1kΩ,C27834
"R4, R5, R6, R7",1206,4,820m,C2907361
R8,R_0603,1,470Ω,C23179
"S1, S2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,"Tactile Button, 160gf",C318884
U1,WDFN-10-1EP_3x3mm_P0.5mm_EP1.8x2.5mm,1,HUSB238_xxxDD,
"U11, U12, U4, U5",WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,4,TPS61165DRV,
U2,TSSOP-20_4.4x6.5mm_P0.65mm,1,STM8S003F3P6TR,C52717
U3,SOT-23-6,1,USBLC6-2SC6,C7519
U7,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,HT7533,C14289
