Designator,Mid X,Mid Y,Rotation,Layer
C1,118.2,-56.8,180.0,top
C10,137.2,-53.2,270.0,top
C11,137.2,-65.1,270.0,top
C16,118.5,-88.2,0.0,top
C17,115.4,-85.5,90.0,top
C18,115.4,-82.6,270.0,top
C19,138.4,-79.2,90.0,top
C2,136.25,-82.5,0.0,top
C20,138.4,-91.2,90.0,top
C21,138.4,-55.2,90.0,top
C22,138.4,-67.1,90.0,top
C3,136.25,-94.5,0.0,top
C4,136.25,-58.5,0.0,top
C5,136.25,-70.4,0.0,top
C6,117.0,-71.0,270.0,top
C7,120.5,-75.0,180.0,top
C8,137.2,-77.2,270.0,top
C9,137.2,-89.2,270.0,top
D1,135.595044,-77.0,270.0,top
D2,135.595044,-89.0,270.0,top
D3,135.595044,-53.0,270.0,top
D4,135.595044,-64.9,270.0,top
D5,121.5,-91.0,0.0,top
D6,112.0,-91.0,0.0,top
D8,118.2,-61.5,90.0,top
D9,122.2,-66.0,0.0,top
F1,115.5,-65.5,0.0,top
J1,147.73,-75.0,180.0,top
J2,150.15,-56.0,90.0,top
J3,109.0,-81.0,0.0,top
J4,109.0,-69.23,0.0,top
L1,132.3,-80.0,90.0,top
L2,132.3,-92.0,90.0,top
L3,132.3,-56.0,90.0,top
L4,132.3,-67.9,90.0,top
Q1,124.0,-62.5,0.0,top
R1,118.2,-58.5,0.0,top
R10,120.8,-77.82,270.0,top
R11,121.0,-62.5,90.0,top
R16,119.0,-91.0,90.0,top
R17,109.5,-91.0,90.0,top
R18,124.0,-54.18,90.0,top
R19,122.5,-54.18,90.0,top
R20,118.0,-77.82,270.0,top
R21,119.4,-77.82,270.0,top
R22,123.6,-77.82,270.0,top
R23,125.0,-83.5,90.0,top
R3,121.0,-58.5,90.0,top
R4,139.3,-83.0,270.0,top
R5,139.3,-95.0,270.0,top
R6,139.3,-59.0,270.0,top
R7,139.3,-70.9,270.0,top
R8,121.0,-54.18,270.0,top
R9,122.2,-77.82,270.0,top
S1,112.0,-96.5,0.0,top
S2,121.5,-96.5,0.0,top
U1,124.0,-58.0,90.0,top
U11,136.0,-56.0,180.0,top
U12,136.0,-67.9,180.0,top
U2,120.0,-84.0,270.0,top
U3,146.5,-63.5,0.0,top
U4,136.0,-80.0,180.0,top
U5,136.0,-92.0,180.0,top
U7,120.5,-70.456646,90.0,top
